Date,Zalo,FBM,Bigo,Viber
01/18/2017,3,2,20,19
01/19/2017,3,2,20,19
01/20/2017,3,2,19,22
01/21/2017,3,2,26,20
01/22/2017,3,2,23,21
01/23/2017,3,2,22,18
01/24/2017,3,2,22,19
01/25/2017,3,2,22,18
01/26/2017,3,1,24,18
01/27/2017,3,1,22,21
01/28/2017,3,2,21,23
01/29/2017,6,5,19,30
01/30/2017,7,6,18,38
01/31/2017,8,3,21,32
02/01/2017,5,3,18,33
02/02/2017,5,2,16,30
02/03/2017,2,1,17,25
02/04/2017,2,1,17,25
02/05/2017,2,1,16,24
02/06/2017,2,1,16,24
02/08/2017,3,1,20,-1
