Date,FBM,Zalo,Viber,Mocha,Bigo
02-06-2014,0,2,5,0,0
02-07-2014,0,2,5,0,0
02-08-2014,0,3,6,0,0
02-09-2014,0,3,6,0,0
02-10-2014,0,2,5,0,0
02-11-2014,0,2,5,0,0
02-12-2014,0,2,5,0,0
02-13-2014,0,2,5,0,0
02-14-2014,0,2,5,0,0
02-15-2014,0,2,5,0,0
02-16-2014,0,2,5,0,0
02-17-2014,0,2,5,0,0
02-18-2014,0,2,5,0,0
02-19-2014,0,2,5,0,0
02-20-2014,0,2,5,0,0
02-21-2014,0,2,5,0,0
02-22-2014,0,2,5,0,0
02-23-2014,0,2,5,0,0
02-24-2014,0,2,5,0,0
02-25-2014,0,2,5,0,0
02-26-2014,0,2,5,0,0
02-27-2014,0,2,5,0,0
02-28-2014,22,2,6,0,0
03-01-2014,22,2,6,0,0
03-02-2014,9,2,6,0,0
03-03-2014,7,2,6,0,0
03-04-2014,7,2,6,0,0
03-05-2014,6,2,7,0,0
03-06-2014,5,2,7,0,0
03-07-2014,4,2,7,0,0
03-08-2014,4,2,7,0,0
03-09-2014,4,2,7,0,0
03-10-2014,4,2,7,0,0
03-11-2014,4,2,7,0,0
03-12-2014,4,2,7,0,0
03-13-2014,4,2,6,0,0
03-14-2014,4,2,6,0,0
03-15-2014,4,2,6,0,0
03-16-2014,4,2,6,0,0
03-17-2014,4,2,6,0,0
03-18-2014,4,2,6,0,0
03-19-2014,4,2,6,0,0
03-20-2014,4,2,6,0,0
03-21-2014,4,2,6,0,0
03-22-2014,4,2,6,0,0
03-23-2014,4,2,6,0,0
03-24-2014,4,2,6,0,0
03-25-2014,4,2,6,0,0
