Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,10/26/2012,Downloads,174,116,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,10/27/2012,Downloads,176,117,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,10/28/2012,Downloads,182,118,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,10/29/2012,Downloads,186,122,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,10/30/2012,Downloads,194,127,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,10/31/2012,Downloads,197,129,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/01/2012,Downloads,209,135,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/02/2012,Downloads,215,140,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/03/2012,Downloads,226,148,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/04/2012,Downloads,227,148,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/05/2012,Downloads,226,146,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/06/2012,Downloads,238,152,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/07/2012,Downloads,246,158,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/08/2012,Downloads,242,157,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/09/2012,Downloads,238,155,19,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/10/2012,Downloads,242,160,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/11/2012,Downloads,240,157,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/12/2012,Downloads,235,155,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/13/2012,Downloads,228,151,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/14/2012,Downloads,220,143,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/15/2012,Downloads,213,140,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/16/2012,Downloads,203,136,20,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/17/2012,Downloads,193,127,18,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/18/2012,Downloads,179,115,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/19/2012,Downloads,167,106,16,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/20/2012,Downloads,162,103,16,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/21/2012,Downloads,151,98,16,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/22/2012,Downloads,142,93,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/23/2012,Downloads,133,83,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/24/2012,Downloads,117,74,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/25/2012,Downloads,105,68,13,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/26/2012,Downloads,99,66,12,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/27/2012,Downloads,96,63,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/28/2012,Downloads,96,62,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/29/2012,Downloads,91,59,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,11/30/2012,Downloads,90,59,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/01/2012,Downloads,101,65,12,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/02/2012,Downloads,101,64,13,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/03/2012,Downloads,102,66,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/04/2012,Downloads,102,66,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/05/2012,Downloads,102,66,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/06/2012,Downloads,107,69,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/07/2012,Downloads,116,73,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/08/2012,Downloads,121,77,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/09/2012,Downloads,121,77,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/10/2012,Downloads,116,74,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/11/2012,Downloads,112,74,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/12/2012,Downloads,108,70,14,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/13/2012,Downloads,91,61,12,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/14/2012,Downloads,91,61,12,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/15/2012,Downloads,78,53,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/16/2012,Downloads,77,50,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/17/2012,Downloads,73,46,11,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/18/2012,Downloads,55,34,9,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/19/2012,Downloads,45,30,8,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/20/2012,Downloads,39,27,7,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/21/2012,Downloads,31,21,7,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/22/2012,Downloads,24,17,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/23/2012,Downloads,23,16,6,0
