Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:57:46 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/26/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/27/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/28/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/29/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/30/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/31/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/01/2016,Downloads,3,3,3
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/02/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/03/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/04/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/05/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/06/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/07/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/08/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/09/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/10/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/11/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/12/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/13/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/14/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/15/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/16/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/17/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/18/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/19/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/20/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/21/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/22/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/23/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/24/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/25/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/26/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/27/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/28/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/29/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,04/30/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/01/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/02/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/03/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/04/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/05/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/06/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/07/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/08/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/09/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/10/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/11/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/12/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/13/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/14/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/15/2016,Downloads,3,3,2
